time,open,high,low,close,volume
2020-02-14 00:00,1573.965,1584.948,1573.658,1583.648,1110
2020-02-16 00:00,1581.858,1583.698,1580.325,1581.928,270
2020-02-17 00:00,1581.955,1587.028,1578.798,1586.385,1137
2020-02-18 00:00,1586.405,1605.018,1584.968,1602.015,1379
2020-02-19 00:00,1602.018,1612.888,1601.225,1610.845,1380
2020-02-20 00:00,1610.845,1624.848,1603.785,1623.945,1380
2020-02-21 00:00,1623.928,1649.165,1623.895,1643.148,1110
2020-02-23 00:00,1654.598,1680.605,1651.748,1659.765,270
2020-02-24 00:00,1659.765,1689.255,1642.755,1656.825,1380
2020-02-25 00:00,1656.795,1658.375,1624.898,1639.645,1380
2020-02-26 00:00,1639.645,1654.895,1624.785,1647.845,1380
2020-02-27 00:00,1647.835,1660.368,1635.145,1645.005,1380
2020-02-28 00:00,1645.005,1645.658,1562.848,1585.435,1110
2020-03-01 00:00,1591.378,1606.518,1575.315,1599.245,270
2020-03-02 00:00,1599.245,1610.958,1583.845,1598.575,1380
2020-03-03 00:00,1598.575,1652.548,1593.438,1641.938,1380
2020-03-04 00:00,1641.948,1649.265,1631.798,1639.248,1380
2020-03-05 00:00,1639.265,1676.475,1637.078,1671.438,1380
2020-03-06 00:00,1671.428,1692.088,1642.128,1673.548,1110
2020-03-08 00:00,1694.895,1703.318,1678.725,1683.225,321
2020-03-09 00:00,1683.218,1687.415,1657.308,1666.955,1380
2020-03-10 00:00,1666.958,1668.175,1641.495,1657.605,1380
2020-03-11 00:00,1657.565,1671.158,1630.708,1634.845,1380
2020-03-12 00:00,1634.805,1645.448,1551.265,1562.305,1380
2020-03-13 00:00,1562.315,1597.825,1504.398,1529.348,1050
2020-03-15 00:00,1567.348,1575.305,1523.845,1547.165,330
2020-03-16 00:00,1547.175,1550.755,1451.148,1494.758,1380
2020-03-17 00:00,1494.825,1553.808,1465.468,1529.448,1380
2020-03-18 00:00,1529.448,1533.208,1464.898,1466.528,1380
2020-03-19 00:00,1466.528,1496.058,1454.898,1481.048,1380
2020-03-20 00:00,1481.118,1516.045,1479.175,1498.698,1050
2020-03-22 00:00,1503.768,1508.148,1482.258,1496.358,330
2020-03-23 00:00,1496.368,1584.328,1484.978,1573.558,1379
2020-03-24 00:00,1573.608,1639.18,1557.015,1617.178,1365
2020-03-25 00:00,1617.168,1626.925,1594.682,1606.398,1370
2020-03-26 00:00,1606.388,1645.052,1595.748,1624.358,1380
2020-03-27 00:00,1624.378,1631.098,1612.838,1626.148,1052
2020-03-29 00:00,1639.458,1639.458,1610.098,1616.538,329
2020-03-30 00:00,1616.558,1627.188,1610.825,1613.778,1382
2020-03-31 00:00,1613.778,1619.448,1567.468,1583.638,1380
2020-04-01 00:00,1583.708,1599.988,1571.765,1584.708,1380
2020-04-02 00:00,1584.698,1619.94,1582.818,1612.295,1380
2020-04-03 00:00,1612.295,1625.498,1605.625,1617.048,1050
2020-04-05 00:00,1615.578,1621.968,1609,1618.345,330
2020-04-06 00:00,1618.455,1674.828,1615.738,1659.808,1380
2020-04-07 00:00,1659.808,1668.598,1640.398,1644.605,1378
2020-04-08 00:00,1644.605,1656.288,1642,1648.418,1379
2020-04-09 00:00,1648.368,1689.948,1646.435,1682.148,1050
2020-04-12 00:00,1686.218,1691.448,1675,1683.678,330
2020-04-13 00:00,1683.638,1725.548,1681,1720.378,1380
